T;Q;TCE
25;0.102;0.25
25;1.5;0.272
25;0.3;0.254
25;2.5;0.282
25;3.51;0.295
25;0.499;0.256
25;3;0.287
25;1;0.263
25;2;0.28
30;0.101;0.256
30;1.5;0.278
30;1;0.273
30;3.5;0.305
30;0.299;0.259
30;3.01;0.301
30;2;0.288
30;0.503;0.262
30;2.5;0.293
35;0.101;0.259
35;2.5;0.296
35;2;0.293
35;1.5;0.283
35;0.499;0.264
35;0.3;0.261
35;3.51;0.309
35;1;0.276
35;3;0.305
40;0.102;0.264
40;3.51;0.323
40;3;0.318
40;1.5;0.291
40;2;0.301
40;2.5;0.307
40;1;0.283
40;0.301;0.267
40;0.51;0.273
45;3.5;0.337
45;3;0.323
45;0.304;0.269
45;2.5;0.317
45;1.5;0.295
45;1;0.289
45;2;0.304
45;0.502;0.276
45;0.1;0.267
50;1;0.294
50;0.299;0.275
50;0.101;0.272
50;2.5;0.325
50;3.5;0.351
50;2;0.313
50;3.01;0.342
50;1.5;0.305
50;0.494;0.283
