X	Y
24,1	25,2
2,72	1,16
20	22,6
5,23	6,27
3,32	6,2
1,83	3,58
1,89	1,09
1,05	1,02
28,6	26,5
22,2	21,8
20,9	19,7
15,5	17,2
7,38	5,81
2,6	4,89
5,53	4,57
3,08	2,47
1,89	2,4
15,9	16,4
15,3	15,9
15,7	15,1
14,4	13,8
13,3	12,5
10,2	9,61
28,5	24,4
20,6	23,9
23,2	23,1
19	20,5
18	18,4
17,6	17,6
31,9	27,7
13,2	14,6
12,5	13
12,3	11,3
9,35	9,16
9,17	7,91
6,3	7,51
7,74	7,06
18,4	21,3
22,1	21
18,4	19,3
4,93	4,96
11,8	11,7
15,1	17,9
10,4	10,4
3,08	3,71
14,6	14,2
1,4	2,27
2,58	3,64
2,13	4,85
8,76	8,35
10,4	11
X	Y
24,1	25,2
2,72	1,16
20	22,6
5,23	6,27
3,32	6,2
1,83	3,58
1,89	1,09
1,05	1,02
28,6	26,5
22,2	21,8
20,9	19,7
15,5	17,2
7,38	5,81
2,6	4,89
5,53	4,57
3,08	2,47
1,89	2,4
15,9	16,4
15,3	15,9
15,7	15,1
14,4	13,8
13,3	12,5
10,2	9,61
28,5	24,4
20,6	23,9
23,2	23,1
19	20,5
18	18,4
17,6	17,6
31,9	27,7
13,2	14,6
12,5	13
12,3	11,3
9,35	9,16
9,17	7,91
6,3	7,51
7,74	7,06
18,4	21,3
22,1	21
18,4	19,3
4,93	4,96
11,8	11,7
15,1	17,9
10,4	10,4
3,08	3,71
14,6	14,2
1,4	2,27
2,58	3,64
2,13	4,85
8,76	8,35
10,4	11
